id,type,subtype,price,transactionType,zip,visualisationOption,atticExists,basementExists,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Number_of_frontages,Living_area,Furnished,url
4725077,house,manor house,no price,for sale,8670,xl,,,installed,2013,as new,,,2,160,111,true,,,,1,false,,80,No,"https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/4725077
"
4725078,house,manor house,no price,for sale,8670,xl,,,installed,2013,as new,,,3,158,112,true,,,,1,false,3,80,No,"https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/4725078
"
4725079,house,manor house,no price,for sale,8670,xl,,,installed,2013,as new,,,2,156,110,true,,,,1,false,3,80,No,"https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/4725079
"
4725080,house,manor house,no price,for sale,8670,xl,,,installed,2013,as new,,,2,155,109,true,,,,1,false,,80,No,"https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/4725080
"
4725081,house,manor house,no price,for sale,8670,xl,,,installed,2013,as new,,,3,152,106,true,,,,1,false,,80,No,"https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/4725081
"
4725082,house,manor house,no price,for sale,8670,xl,,,installed,2013,as new,,,2,133,87,true,,,,1,false,4,80,No,"https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/4725082
"
4725083,house,manor house,no price,for sale,8670,xl,,,installed,2013,as new,,,2,144,95,true,,,,1,false,,80,No,"https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/4725083
"
4725084,house,manor house,no price,for sale,8670,xl,,,installed,2013,as new,,,3,0,,true,,,,1,false,3,80,No,"https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/4725084
"
4731428,apartment,apartment,365000,for sale,2018,xl,,,,2010,as new,,,2,,,,,true,,,false,,97,,"https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/4731428
"
4752209,house,house,no price,for sale,8300,xl,,true,,1978,,,510,2,194,,,,,2,,false,,,No,"https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/4752209
"
4817969,house,house,223675,for sale,9450,xl,,,,,,,,3,0,,,,,,,false,,,,"https://www.immoweb.be/en/classified/house/for-sale/haaltert/9450/4817969
"
